net,length_um
_12414_,239.96
_13666_,239.935
decoded_imm_uj\[17\],239.755
_10151_,239.655
_08560_,239.64
_05735_,239.63
_11084_,239.545
_10298_,239.52
_03173_,239.45
_11897_,239.3
_08783_,239.06
_05692_,238.76
_11772_,238.69
_05675_,238.64
_08885_,238.62
_08237_,238.385
net133,238.36
net292,238.36
decoded_imm_uj\[19\],238.265
_08718_,238
net20,237.88
clknet_5_13__leaf_clk,237.87
_10598_,237.855
_12273_,237.72
_07861_,237.52
_11560_,237.42
_11172_,236.87
_06200_,236.68
_13798_,236.58
_13816_,236.56
_08859_,236.27
net152,236.12
_11108_,235.89
_10320_,235.78
net36,235.57
_08256_,235.34
clknet_5_16__leaf_clk,235.28
clknet_5_29__leaf_clk,235.15
net48,235.12
_05694_,235.1
net84,234.86
_10747_,234.67
_05748_,234.46
_12584_,234.3
_13674_,234.23
_05745_,234.12
_06302_,234.1
_05714_,234
_13057_,233.94
_14087_,233.91
_11037_,233.9
_11385_,233.7
decoded_imm_uj\[16\],233.64
_06346_,233.23
_03171_,233.18
clknet_5_6__leaf_clk,233.11
_09579_,233.02
_11159_,233
_08468_,232.84
_11896_,232.8
_09971_,232.62
_00083_,232.615
decoded_imm\[24\],232.31
_07397_,232.24
_11043_,232.12
_11145_,232.11
_11778_,232.06
_06175_,231.9
_09934_,231.42
_11067_,231.42
_08257_,231.4
net271,231.04
_14385_,230.78
_07834_,230.55
_08251_,230.33
net196,230.06
clknet_5_3__leaf_clk,230.02
_06058_,229.68
_11662_,229.64
_13845_,229.64
_10746_,229.25
_08321_,229.115
_05733_,229.1
_12700_,228.98
net124,228.86
_10590_,228.8
_07694_,228.775
_10669_,228.665
_10744_,228.64
_08261_,228.48
net202,228.32
_05031_,228.28
_12544_,228
_11931_,227.96
net188,227.92
_06182_,227.91
_08393_,227.78
_08262_,227.56
_05324_,227.54
_11954_,227.43
_10993_,227.4
_10650_,227.28
_09083_,227.02
_05022_,226.9
net67,226.8
_12278_,226.765
_08770_,226.72
_09181_,226.72
_11387_,226.72
clknet_5_15__leaf_clk,226.59
_10457_,226.36
_07960_,226.34
net197,226.34
_06578_,225.9
_11142_,225.76
_08236_,225.72
_01652_,225.6
net156,225.48
_14391_,225.36
_05747_,225.34
_13229_,225.275
_11036_,225.24
net79,224.98
_11930_,224.77
_03286_,224.26
_01618_,224.07
